comment,aspect,sentiments,clean_comment
"_ Ảnh chụp từ hôm qua, đi chơi với gia đình và 1 nhà họ hàng đang sống tại Sài Gòn. _ Hôm qua đi ăn trưa muộn, ai cũng đói hết nên lúc có đồ ăn là nhào vô ăn liền, bởi vậy mới quên chụp các phần gọi thêm với nước mắm, chỉ chụp món chính thôi! _ Đói quá nên không biết đánh giá đồ ăn kiểu gì luôn 😅😅😅_ Chọn cái này vì thấy nó lạ với tui.","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['neutral', 'neutral']",ảnh chụp từ hôm qua đi chơi với gia đình và 1 nhà họ hàg đang sống tại xài gòn hôm qua đi ăn trưa muộn ai cũng đói hết nên lúc có đồ ăn là nhào vô ăn liền bởi vậy mới quên chụp các phần gọi thêm với nước mắm chỉ chụp món chính thôi đói quá nên không biết đánh giá đồ ăn kiểu gì luôn chọn cái này vì thấy nó lạ với tui
"_Hương vị thơm ngon, ăn cay cay rất thích, nêm nếm vừa miệng. Ngoài ra menu quán cũng nhiều món khác nhau tha hồ cho bạn lựa chọn luôn._Quán rộng rãi, view khá đẹp và cũng thoáng lắm. Khách của quán đông nên nhiều khi nhân viên phục vụ không được nhanh cho lắm._Thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung bình là 150k 1 phần. Hai bạn đi chung chi khoảng 400k hơn là ổn nhé.","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL', 'RESTAURANT#GENERAL', 'SERVICE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#PRICES']","['positive', 'positive', 'positive', 'positive', 'negative', 'neutral', 'neutral']",hương vị thơm ngon ăn cay cay rất thích nêm nếm vừa miệng ngoài ra menu quán cũng nhiều món khác nhau tha hồ cho bạn lựa chọn luôn quán rộng rãi view khá đẹp và cũng thoáng lắm khách của quán đông nên nhiều khi nhân viên phục vụ không được nhanh cho lắm thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung bình là 150k 1 phần hai bạn đi chung chi khoảng 400k hơn là ổn nhé
"- 1 bàn tiệc hoành tráng 3 đứa ăn no muốn tắt thở mà giá chỉ 228k (ăn trung đợt giảm 10%), mình thích nhất pad thái vs gà nướng - đúng kiểu Thái luôn, quán nhỏ, trong hẻm, cơ mà anh phục vụ rất dễ thương, chế biến hợp vệ sinh, bếp lộ thiên lại còn có thể xin nấu cùng - đã!","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'negative', 'negative', 'positive', 'positive', 'positive']",1 bàn tiệc hoành tráng 3 đứa ăn no muốn tắt thở mà giá chỉ 228k ăn trung đợt giảm 10k mình thích nhất pad thái với gà nướng đúng kiểu thái luôn quán nhỏ trong hẻm cơ mà anh phục vụ rất dễ thương chế biến hợp vệ sinh bếp lộ thiên lại còn có thể xin nấu cùng đã
- Các bạn nhìn cái chảo này có to không 🙄🙄🙄- Trên hình thấy nó cũng to mà ra bên ngoài nó bé tí tẹo tèo teo í 😅😅😅😅- Mà nhìn hoàng tráng lắm - Ăn là no muốn lăn luôn hahaaa - Cái này từ hồi mình ở Hà Nội đã thèm thuồng và vẫn chưa có cơ hội thử thì vô Sài Gòn có quán bánh mì chảo đậm chất Hà Nội đây 👍🏼👍🏼👍🏼- Thêm địa điểm cho mấy bạn nên đi thử nhé - Không thất vọng đâu vì nó khá ngon hê hê,"['FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL', 'FOOD#QUALITY']","['positive', 'positive', 'positive']",các bạn nhìn cái chảo này có to không trên hình thấy nó cũng to mà ra bên ngoài nó bé tí tẹo tèo teo í mà nhìn hoàng tráng lắm ăn là no muốn lăn luôn hahaa cái này từ hồi mình ở hà nội đã thèm thuồng và vẫn chưa có cơ hội thử thì vô xài gòn có quán bánh mì chảo đậm chất hà nội đây thêm địa điểm cho mấy bạn nên đi thử nhé không thất vọng đâu vì nó khá ngon hê hê
"- Cháo: có nhiều hương cho các bạn chọn, nhưng mình thì chọn hương lá dứa. Cháo thì cỡ hai chén là hết, cháo khá nhừ và thơm, cháo thơm mùi gạo tự nhiên😍- Ếch: vị satế, vì mình cực kì thích ăn cay. Nồi ếch thơm lừng , ăn tại chỗ thì ếch nóng hổi , ăn nóng bao ngon luôn. Cay cay, mặn mặn hoà chung với cháo thì siêu ngon luôn😝","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",cháo có nhiều hương cho các bạn chọn nhưng mình thì chọn hương lá dứa cháo thì cỡ hai chén là hết cháo khá nhừ và thơm cháo thơm mùi gạo tự nhiên ếch vị satế vì mình cực kì thích ăn cay nồi ếch thơm lừng ăn tại chỗ thì ếch nóng hổi ăn nóng bao ngon luôn cay cay mặn mặn chung với cháo thì siêu ngon luôn
"- Đồ nướng thì chỗ này không ít bạn ""chẻ"" biết đến đâu nhỉ =))) - Giá thì cực sinh viên luôn . Chỉ từ 5k 1 xiên thôi . Có cả bò phô mai với cả bạch tuộc nướng nưa- Thịt ở đây ướp rất là ngon vừa miệng ăn nữa - Nói chùn là không có chỗ chê hê hê","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive']",đồ nướng thì chỗ này không ít bạn chê biết đến đâu nhỉ giá thì cực sinh viên luôn chỉ từ 5k 1 xiên thôi có cả bò phô mai với cả bạch tuộc nướng nữa thịt ở đây ướp rất là ngon vừa miệng ăn nữa nói chung là không có chỗ chê hê hê
"- Đói không ngủ được nên up hình đồ ăn cho mấy bạn coi - Mì ý ở đây ngon lắm, không chê vào đâu đươc í - Không gian cực kì dễ thương =)) thíc hợp với việc hẹn hò haha - Giá cả gọi là hợp lí cho sinh viên tụi mình lâu lâu tự thưởng cho bản thân một bữa ngon lành cũng không gọi là tiếc nuối đâu ạ","['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'FOOD#PRICES']","['positive', 'positive', 'positive']",đói không ngủ được nên up hình đồ ăn cho mấy bạn coi mì ý ở đây ngon lắm không chê vào đâu được í không gian cực kì dễ thương thích hợp với việc hẹn hò tốt giá cả gọi là hợp lí cho sinh viên tụi mình lâu lâu tự thưởng cho bản thân một bữa ngon lành cũng không gọi là tiếc nuối đâu ạ
"- Khẩu vị vừa ăn hợp vệ sinh , không gian quán rộng view cũng tạm được. Đặc biệt là phục vụ rất nhiệt tình và vui vẻ","['FOOD#QUALITY', 'RESTAURANT#MISCELLANEOUS', 'AMBIENCE#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'neutral', 'positive']",khẩu vị vừa ăn hợp vệ sinh không gian quán rộng view cũng tạm được đặc biệt là phục vụ rất nhiệt tình và vui vẻ
- Kimchi Kimchi 😹😹- Nói cho cùng thì đồ ăn càng cay càng ngon hã 😂- Lẩu bánh gạo phần 4 người ăn ở kimchikimchi - chúng ta có thể ăn no nê luôn - Nồi lẩu khá to và còn được tặng kèm 2 lon sting và 1 phần cơm chiên nữa 😍😍😍- Đang có chương trình khuyến mại giảm 50% cho phần lẩu 4 người này các bạn ạ - Ai mà nghiền cay thì không thể không check in hhahaaa,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",kimchi kimchi nói cho cùng thì đồ ăn càng cay càng ngon như lẩu bánh gạo phần 4 người ăn ở kimchi kimchi chúng ta có thể ăn no nê luôn nồi lẩu khá to và còn được tặng kèm 2 lon sting và 1 phần cơm chiên nữa đang có chương trình khuyến mại giảm 50 cho phần lẩu 4 người này các bạn ạ ai mà nghiền cay thì không thể không check in ha ha ha
"- Lẩu hàu thì chưa thấy đâu có. Mới ăn lần đầu ở đây luôn, mà ghiền quá. Một phần lẩu 199k đầy đặn có 8 con hàu, 2 quả trứng, rau, nấm, một gói mì Hàn (ăn dai dai chứ ko bở như mấy loại thường).- Cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon. Nước lẩu cay cay, ấm bụng cực :D- Mì thêm 10k/ vắt, trứng 5k/ trái.","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'neutral']",lẩu hàu thì chưa thấy đâu có mới ăn lần đầu ở đây luôn mà ghiền quá một phần lẩu 199k đầy đặn có 8 con hàu 2 quả trứng rau nấm một gói mì hàn ăn dai dai chứ không bở như mấy loại thường cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon nước lẩu cay cay ấm bụng cực dầm mì thêm 10k vắt trứng 5k trái
