clean_comment,aspect,sentiments,VNESE_text_output
ảnh chụp từ hôm qua đi chơi với gia đình và 1 nhà họ hàg đang sống tại xài gòn hôm qua đi ăn trưa muộn ai cũng đói hết nên lúc có đồ ăn là nhào vô ăn liền bởi vậy mới quên chụp các phần gọi thêm với nước mắm chỉ chụp món chính thôi đói quá nên không biết đánh giá đồ ăn kiểu gì luôn chọn cái này vì thấy nó lạ với tui,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['neutral', 'neutral']",lựa chọn đồ ăn tạm và chất lượng đồ ăn tạm
hương vị thơm ngon ăn cay cay rất thích nêm nếm vừa miệng ngoài ra menu quán cũng nhiều món khác nhau tha hồ cho bạn lựa chọn luôn quán rộng rãi view khá đẹp và cũng thoáng lắm khách của quán đông nên nhiều khi nhân viên phục vụ không được nhanh cho lắm thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung bình là 150k 1 phần hai bạn đi chung chi khoảng 400k hơn là ổn nhé,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'AMBIENCE#GENERAL', 'RESTAURANT#GENERAL', 'SERVICE#GENERAL', 'FOOD#PRICES', 'RESTAURANT#PRICES']","['positive', 'positive', 'positive', 'positive', 'negative', 'neutral', 'neutral']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và không gian tốt và nhà hàng nói chung tốt và phục vụ tệ và giá tiền món ăn tạm và giá cả nhà hàng tạm
1 bàn tiệc hoành tráng 3 đứa ăn no muốn tắt thở mà giá chỉ 228k ăn trung đợt giảm 10k mình thích nhất pad thái với gà nướng đúng kiểu thái luôn quán nhỏ trong hẻm cơ mà anh phục vụ rất dễ thương chế biến hợp vệ sinh bếp lộ thiên lại còn có thể xin nấu cùng đã,"['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'negative', 'negative', 'positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và giá tiền món ăn tốt và chất lượng đồ ăn tốt và không gian tệ và địa chỉ tệ và phục vụ tốt và vấn đề khác tốt và nhà hàng nói chung tốt
các bạn nhìn cái chảo này có to không trên hình thấy nó cũng to mà ra bên ngoài nó bé tí tẹo tèo teo í mà nhìn hoàng tráng lắm ăn là no muốn lăn luôn hahaa cái này từ hồi mình ở hà nội đã thèm thuồng và vẫn chưa có cơ hội thử thì vô xài gòn có quán bánh mì chảo đậm chất hà nội đây thêm địa điểm cho mấy bạn nên đi thử nhé không thất vọng đâu vì nó khá ngon hê hê,"['FOOD#STYLE&OPTIONS', 'RESTAURANT#GENERAL', 'FOOD#QUALITY']","['positive', 'positive', 'positive']",lựa chọn đồ ăn tốt và nhà hàng nói chung tốt và chất lượng đồ ăn tốt
cháo có nhiều hương cho các bạn chọn nhưng mình thì chọn hương lá dứa cháo thì cỡ hai chén là hết cháo khá nhừ và thơm cháo thơm mùi gạo tự nhiên ếch vị satế vì mình cực kì thích ăn cay nồi ếch thơm lừng ăn tại chỗ thì ếch nóng hổi ăn nóng bao ngon luôn cay cay mặn mặn chung với cháo thì siêu ngon luôn,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","['positive', 'positive']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt
đồ nướng thì chỗ này không ít bạn chê biết đến đâu nhỉ giá thì cực sinh viên luôn chỉ từ 5k 1 xiên thôi có cả bò phô mai với cả bạch tuộc nướng nữa thịt ở đây ướp rất là ngon vừa miệng ăn nữa nói chung là không có chỗ chê hê hê,"['FOOD#PRICES', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['positive', 'positive', 'positive', 'positive']",giá tiền món ăn tốt và lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và nhà hàng nói chung tốt
đói không ngủ được nên up hình đồ ăn cho mấy bạn coi mì ý ở đây ngon lắm không chê vào đâu được í không gian cực kì dễ thương thích hợp với việc hẹn hò tốt giá cả gọi là hợp lí cho sinh viên tụi mình lâu lâu tự thưởng cho bản thân một bữa ngon lành cũng không gọi là tiếc nuối đâu ạ,"['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'FOOD#PRICES']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và không gian tốt và giá tiền món ăn tốt
khẩu vị vừa ăn hợp vệ sinh không gian quán rộng view cũng tạm được đặc biệt là phục vụ rất nhiệt tình và vui vẻ,"['FOOD#QUALITY', 'RESTAURANT#MISCELLANEOUS', 'AMBIENCE#GENERAL', 'LOCATION#GENERAL', 'SERVICE#GENERAL']","['positive', 'positive', 'positive', 'neutral', 'positive']",chất lượng đồ ăn tốt và vấn đề khác tốt và không gian tốt và địa chỉ tạm và phục vụ tốt
kimchi kimchi nói cho cùng thì đồ ăn càng cay càng ngon như lẩu bánh gạo phần 4 người ăn ở kimchi kimchi chúng ta có thể ăn no nê luôn nồi lẩu khá to và còn được tặng kèm 2 lon sting và 1 phần cơm chiên nữa đang có chương trình khuyến mại giảm 50 cho phần lẩu 4 người này các bạn ạ ai mà nghiền cay thì không thể không check in ha ha ha,"['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","['positive', 'positive', 'positive']",chất lượng đồ ăn tốt và lựa chọn đồ ăn tốt và giá tiền món ăn tốt
lẩu hàu thì chưa thấy đâu có mới ăn lần đầu ở đây luôn mà ghiền quá một phần lẩu 199k đầy đặn có 8 con hàu 2 quả trứng rau nấm một gói mì hàn ăn dai dai chứ không bở như mấy loại thường cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon nước lẩu cay cay ấm bụng cực dầm mì thêm 10k vắt trứng 5k trái,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES']","['positive', 'positive', 'neutral']",lựa chọn đồ ăn tốt và chất lượng đồ ăn tốt và giá tiền món ăn tạm
